mode,step,adopted_hp,knots_share,run,seed,softfork_wins,fork_depth,orphan_rate,secs
policy,0,0.0,0.22,0,9000,False,35,0.0,18.2
policy,0,0.0,0.22,1,9001,False,32,0.0,17.8
policy,0,0.0,0.22,2,9002,False,40,0.0,18.1
policy,0,0.0,0.22,3,9003,False,37,0.0,17.9
policy,0,0.0,0.22,4,9004,False,34,0.0,18.3
policy,0,0.0,0.22,5,9005,False,39,0.0,18.3
policy,1,0.08,0.22,0,9030,False,38,0.0,18.0
policy,1,0.08,0.22,1,9031,False,38,0.0,19.1
policy,1,0.08,0.22,2,9032,False,32,0.0,18.6
policy,1,0.08,0.22,3,9033,False,38,0.0,18.5
policy,1,0.08,0.22,4,9034,False,34,0.0,18.3
policy,1,0.08,0.22,5,9035,False,36,0.0312,18.2
policy,2,0.18,0.22,0,9060,False,38,0.0,17.9
policy,2,0.18,0.22,1,9061,False,33,0.0,17.7
policy,2,0.18,0.22,2,9062,False,32,0.0,17.9
policy,2,0.18,0.22,3,9063,False,35,0.0,18.4
policy,2,0.18,0.22,4,9064,False,34,0.0,18.2
policy,2,0.18,0.22,5,9065,False,37,0.0,17.9
policy,3,0.33,0.22,0,9090,False,33,0.0,18.2
policy,3,0.33,0.22,1,9091,False,38,0.0,17.8
policy,3,0.33,0.22,2,9092,False,35,0.0,17.7
policy,3,0.33,0.22,3,9093,False,37,0.0,17.7
policy,3,0.33,0.22,4,9094,False,31,0.0,17.6
policy,3,0.33,0.22,5,9095,False,37,0.0,17.7
policy,4,0.53,0.22,0,9120,False,36,0.0,17.8
policy,4,0.53,0.22,1,9121,False,33,0.0,17.5
policy,4,0.53,0.22,2,9122,False,26,0.0,17.6
policy,4,0.53,0.22,3,9123,False,30,0.0,17.3
policy,4,0.53,0.22,4,9124,False,34,0.0,18.3
policy,4,0.53,0.22,5,9125,False,37,0.0,20.2
policy,5,0.78,0.22,0,9150,True,0,0.0,17.7
policy,5,0.78,0.22,1,9151,True,0,0.0,17.7
policy,5,0.78,0.22,2,9152,True,0,0.0,17.6
policy,5,0.78,0.22,3,9153,True,0,0.0,17.6
policy,5,0.78,0.22,4,9154,True,0,0.0,17.6
policy,5,0.78,0.22,5,9155,True,0,0.0,17.5
consensus,0,0.0,0.22,0,10000,False,32,0.0,18.2
consensus,0,0.0,0.22,1,10001,False,37,0.0,18.2
consensus,0,0.0,0.22,2,10002,False,34,0.0,18.2
consensus,0,0.0,0.22,3,10003,False,37,0.0,18.0
consensus,0,0.0,0.22,4,10004,False,36,0.0,18.4
consensus,0,0.0,0.22,5,10005,False,36,0.0,18.5
consensus,1,0.08,0.3,0,10030,False,29,0.0,18.1
consensus,1,0.08,0.3,1,10031,False,34,0.0,18.2
consensus,1,0.08,0.3,2,10032,False,31,0.0,18.2
consensus,1,0.08,0.3,3,10033,False,33,0.0,18.1
consensus,1,0.08,0.3,4,10034,False,31,0.0,17.9
consensus,1,0.08,0.3,5,10035,False,25,0.0,18.8
consensus,2,0.18,0.4,0,10060,False,20,0.1364,19.6
consensus,2,0.18,0.4,1,10061,False,28,0.0,18.2
consensus,2,0.18,0.4,2,10062,False,21,0.2,18.0
consensus,2,0.18,0.4,3,10063,False,13,0.4286,17.9
consensus,2,0.18,0.4,4,10064,False,20,0.2963,18.1
consensus,2,0.18,0.4,5,10065,False,29,0.0,18.3
consensus,3,0.33,0.55,0,10090,False,26,0.0,17.9
consensus,3,0.33,0.55,1,10091,True,5,0.7647,18.7
consensus,3,0.33,0.55,2,10092,False,6,0.7368,18.5
consensus,3,0.33,0.55,3,10093,True,1,1.0,19.2
consensus,3,0.33,0.55,4,10094,False,12,0.3529,18.0
consensus,3,0.33,0.55,5,10095,True,4,0.8,19.4
consensus,4,0.53,0.75,0,10120,False,8,0.3846,19.0
consensus,4,0.53,0.75,1,10121,True,4,0.6923,17.9
consensus,4,0.53,0.75,2,10122,True,2,0.8182,19.9
consensus,4,0.53,0.75,3,10123,True,0,1.0,17.9
consensus,4,0.53,0.75,4,10124,True,0,1.0,17.6
consensus,4,0.53,0.75,5,10125,True,4,0.6364,18.1
consensus,5,0.78,1.0,0,10150,True,0,0.0,16.9
consensus,5,0.78,1.0,1,10151,True,0,0.0,17.1
consensus,5,0.78,1.0,2,10152,True,0,0.0,16.9
consensus,5,0.78,1.0,3,10153,True,0,0.0,17.3
consensus,5,0.78,1.0,4,10154,True,0,0.0,17.3
consensus,5,0.78,1.0,5,10155,True,0,0.0,17.0
