mode,step,knots_share,n_nodes,run,seed,softfork_wins,fork_depth,orphan_rate,spam_produced,spam_orphaned,breakeven_fee,core_gaveup,core_reorgs,secs
baseline,0,0.22,21,0,7000,False,37,0.0,37,0,0.0,0,0,17.8
baseline,0,0.22,21,1,7001,False,34,0.0,34,0,0.0,0,0,17.6
baseline,0,0.22,21,2,7002,False,38,0.0,38,0,0.0,0,0,17.5
baseline,0,0.22,21,3,7003,False,35,0.0,35,0,0.0,0,0,17.6
baseline,0,0.22,21,4,7004,False,34,0.0,34,0,0.0,0,0,17.5
baseline,0,0.22,21,5,7005,False,35,0.0,35,0,0.0,0,0,17.8
baseline,0,0.22,21,6,7006,False,32,0.0,32,0,0.0,0,0,17.7
baseline,0,0.22,21,7,7007,False,40,0.0,40,0,0.0,0,0,17.6
baseline,1,0.2909,22,0,7050,False,16,0.375,24,9,0.6,0,2,17.9
baseline,1,0.2909,22,1,7051,False,33,0.0,33,0,0.0,0,0,18.7
baseline,1,0.2909,22,2,7052,False,34,0.0,34,0,0.0,0,0,18.2
baseline,1,0.2909,22,3,7053,False,28,0.0,28,0,0.0,0,0,18.3
baseline,1,0.2909,22,4,7054,False,34,0.0,34,0,0.0,0,0,18.8
baseline,1,0.2909,22,5,7055,False,34,0.0,34,0,0.0,0,0,18.2
baseline,1,0.2909,22,6,7056,False,36,0.0,36,0,0.0,0,0,18.2
baseline,1,0.2909,22,7,7057,False,26,0.0385,26,1,0.04,0,1,18.9
baseline,2,0.376,23,0,7100,False,25,0.0,25,0,0.0,0,0,19.0
baseline,2,0.376,23,1,7101,False,35,0.0,35,0,0.0,0,0,18.8
baseline,2,0.376,23,2,7102,False,23,0.0435,23,1,0.0455,0,1,19.3
baseline,2,0.376,23,3,7103,False,28,0.0357,28,1,0.037,0,1,19.1
baseline,2,0.376,23,4,7104,False,31,0.0,31,0,0.0,0,0,18.5
baseline,2,0.376,23,5,7105,False,33,0.0,33,0,0.0,0,0,18.6
baseline,2,0.376,23,6,7106,False,23,0.0,23,0,0.0,0,0,18.6
baseline,2,0.376,23,7,7107,False,26,0.1071,28,3,0.12,0,1,18.6
baseline,3,0.4621,24,0,7150,False,29,0.0,29,0,0.0,0,0,19.0
baseline,3,0.4621,24,1,7151,False,11,0.4737,19,9,0.9,0,3,20.2
baseline,3,0.4621,24,2,7152,False,25,0.0,25,0,0.0,0,0,19.2
baseline,3,0.4621,24,3,7153,False,27,0.0,27,0,0.0,0,0,19.0
baseline,3,0.4621,24,4,7154,True,1,0.9524,21,20,20.0,0,2,19.1
baseline,3,0.4621,24,5,7155,False,30,0.0,30,0,0.0,0,0,18.9
baseline,3,0.4621,24,6,7156,False,27,0.0714,28,2,0.0769,0,1,19.5
baseline,3,0.4621,24,7,7157,False,24,0.0,24,0,0.0,0,0,19.1
baseline,4,0.5412,25,0,7200,False,23,0.0,23,0,0.0,0,0,19.2
baseline,4,0.5412,25,1,7201,False,20,0.1364,22,3,0.1579,0,1,19.1
baseline,4,0.5412,25,2,7202,False,21,0.0455,22,1,0.0476,0,1,19.1
baseline,4,0.5412,25,3,7203,True,1,0.9333,15,14,14.0,0,2,19.1
baseline,4,0.5412,25,4,7204,False,9,0.6364,22,14,1.75,0,2,19.4
baseline,4,0.5412,25,5,7205,True,0,1.0,9,9,,0,6,19.1
baseline,4,0.5412,25,6,7206,False,9,0.5294,17,9,1.125,0,5,19.2
baseline,4,0.5412,25,7,7207,True,2,0.9167,12,11,11.0,0,8,19.1
baseline,5,0.61,26,0,7250,True,1,1.0,8,8,,0,4,19.5
baseline,5,0.61,26,1,7251,True,3,0.8571,14,12,6.0,0,4,19.3
baseline,5,0.61,26,2,7252,True,0,1.0,17,17,,0,3,19.7
baseline,5,0.61,26,3,7253,False,10,0.4706,17,8,0.8889,0,4,19.6
baseline,5,0.61,26,4,7254,True,1,1.0,15,15,,0,4,19.6
baseline,5,0.61,26,5,7255,False,17,0.2,20,4,0.25,0,1,19.7
baseline,5,0.61,26,6,7256,True,4,0.8,15,12,4.0,0,5,19.6
baseline,5,0.61,26,7,7257,True,1,1.0,11,11,,0,5,20.3
baseline,6,0.6681,27,0,7300,True,0,1.0,6,6,,0,7,21.0
baseline,6,0.6681,27,1,7301,True,4,0.7692,13,10,3.3333,0,6,20.0
baseline,6,0.6681,27,2,7302,True,1,1.0,10,10,,0,4,19.8
baseline,6,0.6681,27,3,7303,True,2,0.8,10,8,4.0,0,6,20.6
baseline,6,0.6681,27,4,7304,True,3,0.7,10,7,2.3333,0,7,20.0
baseline,6,0.6681,27,5,7305,False,11,0.4444,18,8,0.8,0,3,20.2
baseline,6,0.6681,27,6,7306,True,0,1.0,12,12,,0,4,20.0
baseline,6,0.6681,27,7,7307,True,0,1.0,10,10,,0,5,20.8
baseline,7,0.7214,28,0,7350,True,0,1.0,15,15,,0,6,21.1
baseline,7,0.7214,28,1,7351,True,0,1.0,7,7,,0,8,20.7
baseline,7,0.7214,28,2,7352,True,2,0.9,10,9,9.0,0,8,20.4
baseline,7,0.7214,28,3,7353,True,0,1.0,11,11,,0,6,20.3
baseline,7,0.7214,28,4,7354,True,0,1.0,13,13,,0,7,20.2
baseline,7,0.7214,28,5,7355,True,0,1.0,4,4,,0,5,20.2
baseline,7,0.7214,28,6,7356,True,1,1.0,9,9,,0,6,470.8
baseline,7,0.7214,28,7,7357,True,0,1.0,6,6,,0,6,20.7
baseline,8,0.7706,29,0,7400,True,0,1.0,10,10,,0,7,21.2
baseline,8,0.7706,29,1,7401,True,0,1.0,8,8,,0,6,21.0
baseline,8,0.7706,29,2,7402,True,0,1.0,8,8,,0,3,20.6
baseline,8,0.7706,29,3,7403,True,0,1.0,9,9,,0,6,20.4
baseline,8,0.7706,29,4,7404,True,0,1.0,8,8,,0,7,20.6
baseline,8,0.7706,29,5,7405,True,2,0.8889,9,8,8.0,0,5,20.6
baseline,8,0.7706,29,6,7406,True,0,1.0,7,7,,0,8,20.8
baseline,8,0.7706,29,7,7407,False,8,0.2222,9,2,0.2857,0,3,20.8
baseline,9,0.8165,30,0,7450,True,1,1.0,9,9,,0,6,145.3
baseline,9,0.8165,30,1,7451,True,0,1.0,4,4,,0,4,21.1
baseline,9,0.8165,30,2,7452,True,0,1.0,4,4,,0,5,21.2
baseline,9,0.8165,30,3,7453,True,2,0.75,8,6,3.0,0,5,21.2
baseline,9,0.8165,30,4,7454,True,0,1.0,7,7,,0,5,21.3
baseline,9,0.8165,30,5,7455,True,2,0.9,10,9,9.0,0,4,21.2
baseline,9,0.8165,30,6,7456,True,0,1.0,6,6,,0,4,946.5
baseline,9,0.8165,30,7,7457,True,0,1.0,4,4,,0,5,21.3
adaptive,0,0.22,21,0,8000,False,32,0.0345,29,1,0.0357,1,1,26.2
adaptive,0,0.22,21,1,8001,False,36,0.0,36,0,0.0,0,0,19.0
adaptive,0,0.22,21,2,8002,False,36,0.0,36,0,0.0,0,0,202.9
adaptive,0,0.22,21,3,8003,False,32,0.0,32,0,0.0,0,0,18.9
adaptive,0,0.22,21,4,8004,False,34,0.0,34,0,0.0,0,0,18.9
adaptive,0,0.22,21,5,8005,False,37,0.0,37,0,0.0,0,0,19.2
adaptive,1,0.2909,22,0,8050,False,33,0.0,33,0,0.0,0,0,19.6
adaptive,1,0.2909,22,1,8051,False,35,0.0,35,0,0.0,0,0,19.8
adaptive,1,0.2909,22,2,8052,False,24,0.2308,13,3,0.3,3,3,18.1
adaptive,2,0.376,23,0,8100,False,21,0.1176,17,2,0.1333,2,2,18.9
adaptive,2,0.376,23,1,8101,False,21,0.0556,18,1,0.0588,1,1,18.7
