n_knots,run,seed,fork,fork_depth,winner,core_reorgs,core_blocks_discarded,spam_blocks,secs
6,,90600,True,31,core,1,1,32,29.1
6,,90601,True,30,core,0,0,30,28.9
6,,90602,True,37,core,0,0,37,29.0
6,,90603,True,34,core,0,0,34,29.0
6,,90604,True,33,core,0,0,33,28.9
6,,90605,True,32,core,0,0,32,28.8
11,,91100,True,3,core,5,16,15,28.7
11,,91101,True,2,core,2,18,18,28.9
11,,91102,True,24,core,0,0,24,28.9
11,,91103,True,7,core,4,11,14,28.6
11,,91104,True,5,core,1,16,20,28.5
11,,91105,True,25,core,0,0,25,28.9
16,,91600,True,1,core,6,12,8,28.4
16,,91601,False,0,tie,6,9,5,28.4
16,,91602,False,0,tie,5,6,3,28.4
16,,91603,False,0,tie,4,5,3,28.4
16,,91604,False,0,tie,5,5,4,28.6
16,,91605,False,0,tie,3,6,5,28.7
