n_knots,run,seed,fork,fork_depth,winner,core_height,knots_height,common_height,spam_blocks,core_consensus,knots_consensus,blocks,p_spam,spam_kind,secs
1,0,1000,True,45,core,147,102,102,45,True,True,45,1.0,random,29.0
1,1,1001,True,41,core,143,106,102,41,True,True,45,1.0,random,29.1
1,2,1002,True,45,core,147,102,102,45,True,True,45,1.0,random,29.0
1,3,1003,True,44,core,146,103,102,44,True,True,45,1.0,random,29.8
1,4,1004,True,42,core,144,105,102,42,True,True,45,1.0,random,30.6
1,5,1005,True,43,core,145,104,102,43,True,True,45,1.0,random,31.7
1,6,1006,True,40,core,142,107,102,40,True,True,45,1.0,random,29.2
1,7,1007,True,44,core,146,103,102,44,True,True,45,1.0,random,29.2
1,8,1008,True,43,core,145,104,102,43,True,True,45,1.0,random,29.0
1,9,1009,True,43,core,145,104,102,43,True,True,45,1.0,random,29.1
2,0,2000,True,40,core,142,107,102,40,True,True,45,1.0,random,29.0
2,1,2001,True,41,core,143,106,102,41,True,True,45,1.0,random,28.8
2,2,2002,True,39,core,142,108,103,39,True,True,45,1.0,random,29.1
2,3,2003,True,39,core,141,108,102,39,True,True,45,1.0,random,29.0
2,4,2004,True,42,core,144,105,102,42,True,True,45,1.0,random,28.8
2,5,2005,True,44,core,146,103,102,44,True,True,45,1.0,random,29.2
2,6,2006,True,41,core,143,106,102,41,True,True,45,1.0,random,29.9
2,7,2007,True,42,core,144,105,102,42,True,True,45,1.0,random,30.0
2,8,2008,True,37,core,139,110,102,37,True,True,45,1.0,random,29.2
2,9,2009,True,39,core,141,108,102,39,True,True,45,1.0,random,29.0
3,0,3000,True,38,core,140,109,102,38,True,True,45,1.0,random,29.0
3,1,3001,True,40,core,142,107,102,40,True,True,45,1.0,random,29.0
3,2,3002,True,31,core,137,114,106,33,True,True,45,1.0,random,28.7
3,3,3003,True,37,core,139,110,102,37,True,True,45,1.0,random,29.0
3,4,3004,True,36,core,141,110,105,36,True,True,45,1.0,random,29.5
3,5,3005,True,39,core,142,108,103,39,True,True,45,1.0,random,29.4
3,6,3006,True,39,core,141,108,102,39,True,True,45,1.0,random,29.3
3,7,3007,True,37,core,139,110,102,37,True,True,45,1.0,random,29.4
3,8,3008,True,38,core,140,109,102,38,True,True,45,1.0,random,28.9
3,9,3009,True,35,core,137,112,102,35,True,True,45,1.0,random,28.9
4,0,4000,True,42,core,144,105,102,42,True,True,45,1.0,random,28.9
4,1,4001,True,34,core,136,113,102,34,True,True,45,1.0,random,28.8
4,2,4002,True,37,core,139,110,102,37,True,True,45,1.0,random,28.9
4,3,4003,True,39,core,143,107,104,39,True,True,45,1.0,random,28.9
4,4,4004,True,37,core,139,110,102,37,True,True,45,1.0,random,28.8
4,5,4005,True,35,core,137,112,102,35,True,True,45,1.0,random,28.9
4,6,4006,True,35,core,137,112,102,35,True,True,45,1.0,random,28.9
4,7,4007,True,33,core,135,114,102,33,True,True,45,1.0,random,29.0
4,8,4008,True,35,core,137,112,102,35,True,True,45,1.0,random,29.1
4,9,4009,True,34,core,136,113,102,34,True,True,45,1.0,random,28.8
5,0,5000,True,36,core,138,111,102,36,True,True,45,1.0,random,29.1
5,1,5001,True,35,core,137,112,102,35,True,True,45,1.0,random,29.1
5,2,5002,True,33,core,135,114,102,33,True,True,45,1.0,random,29.0
5,3,5003,True,35,core,137,112,102,35,True,True,45,1.0,random,28.9
5,4,5004,True,29,core,131,118,102,29,True,True,45,1.0,random,28.7
5,6,5006,True,38,core,140,109,102,38,True,True,45,1.0,random,29.0
5,7,5007,True,35,core,138,112,103,35,True,True,45,1.0,random,29.4
5,8,5008,True,35,core,138,112,103,35,True,True,45,1.0,random,29.0
5,9,5009,True,32,core,134,115,102,32,True,True,45,1.0,random,29.1
6,0,6000,True,35,core,138,112,103,35,True,True,45,1.0,random,29.0
6,1,6001,True,35,core,137,112,102,35,True,True,45,1.0,random,29.0
6,2,6002,True,30,core,134,117,104,30,True,True,45,1.0,random,28.9
6,3,6003,True,33,core,139,112,106,34,True,True,45,1.0,random,28.9
6,4,6004,True,33,core,135,114,102,33,True,True,45,1.0,random,28.7
6,5,6005,True,31,core,133,116,102,31,True,True,45,1.0,random,28.8
6,6,6006,True,34,core,138,113,104,34,True,True,45,1.0,random,28.9
6,7,6007,True,33,core,135,114,102,33,True,True,45,1.0,random,28.9
6,8,6008,True,32,core,134,115,102,32,True,True,45,1.0,random,28.8
6,9,6009,True,31,core,133,116,102,31,True,True,45,1.0,random,28.7
7,0,7000,True,1,tie,126,126,125,19,True,True,45,1.0,random,28.4
7,1,7001,True,31,core,134,116,103,31,True,True,45,1.0,random,28.7
7,2,7002,True,29,core,131,118,102,29,True,True,45,1.0,random,28.9
7,3,7003,True,28,core,131,119,103,28,True,True,45,1.0,random,28.6
7,4,7004,True,32,core,135,115,103,32,True,True,45,1.0,random,28.8
7,5,7005,True,28,core,132,118,104,28,True,True,45,1.0,random,28.6
7,6,7006,True,28,core,132,118,104,28,True,True,45,1.0,random,28.8
7,7,7007,True,29,core,131,118,102,29,True,True,45,1.0,random,28.9
7,8,7008,True,30,core,132,117,102,30,True,True,45,1.0,random,28.8
7,9,7009,True,1,core,126,125,125,20,True,True,45,1.0,random,28.6
8,0,8000,True,23,core,133,122,110,24,True,True,45,1.0,random,28.8
8,1,8001,True,20,core,132,121,112,24,True,True,45,1.0,random,28.8
8,2,8002,True,23,core,131,121,108,25,True,True,45,1.0,random,28.7
8,3,8003,True,29,core,132,118,103,29,True,True,45,1.0,random,28.9
8,4,8004,True,28,core,130,119,102,28,True,True,45,1.0,random,28.6
8,5,8005,True,29,core,132,118,103,29,True,True,45,1.0,random,29.8
8,6,8006,True,20,core,128,123,108,23,True,True,45,1.0,random,28.7
8,7,8007,True,26,core,128,121,102,26,True,True,45,1.0,random,28.8
8,8,8008,True,33,core,135,114,102,33,True,True,45,1.0,random,28.8
9,1,9001,True,23,core,126,124,103,23,True,True,45,1.0,random,28.7
9,2,9002,True,10,tie,126,126,116,20,True,True,45,1.0,random,29.0
