step,n_added,knots_share,n_nodes,run,seed,fork,fork_depth,winner,softfork_wins,core_reorgs,core_blocks_discarded,core_height,knots_height,spam_blocks,secs
0,0,0.22,21,0,5000,True,34,core,False,0,0,136,113,34,17.9
0,0,0.22,21,1,5001,True,30,core,False,0,0,132,117,30,17.8
0,0,0.22,21,2,5002,True,37,core,False,0,0,139,110,37,18.4
0,0,0.22,21,3,5003,True,35,core,False,0,0,137,112,35,19.2
0,0,0.22,21,4,5004,True,35,core,False,0,0,137,112,35,18.3
0,0,0.22,21,5,5005,True,32,core,False,0,0,134,115,32,18.8
0,0,0.22,21,6,5006,True,33,core,False,0,0,135,114,33,18.7
0,0,0.22,21,7,5007,True,34,core,False,0,0,136,113,34,18.3
0,0,0.22,21,8,5008,True,39,core,False,0,0,141,108,39,18.6
0,0,0.22,21,9,5009,True,39,core,False,0,0,143,108,39,18.3
0,0,0.22,21,10,5010,True,38,core,False,0,0,140,109,38,18.6
0,0,0.22,21,11,5011,True,37,core,False,0,0,139,110,37,18.5
0,0,0.22,21,12,5012,True,35,core,False,0,0,137,112,35,18.9
0,0,0.22,21,13,5013,True,40,core,False,0,0,142,107,40,18.7
0,0,0.22,21,14,5014,True,34,core,False,0,0,136,113,34,17.6
0,0,0.22,21,15,5015,True,32,core,False,0,0,135,115,32,17.3
0,0,0.22,21,16,5016,True,37,core,False,0,0,139,110,37,17.5
0,0,0.22,21,17,5017,True,34,core,False,0,0,136,113,34,17.6
0,0,0.22,21,18,5018,True,40,core,False,0,0,142,107,40,17.6
0,0,0.22,21,19,5019,True,42,core,False,0,0,144,105,42,17.8
1,1,0.2909,22,0,5100,True,31,core,False,0,0,134,116,31,18.1
1,1,0.2909,22,1,5101,True,29,core,False,0,0,132,118,29,18.9
1,1,0.2909,22,2,5102,True,30,core,False,0,0,134,117,30,18.0
1,1,0.2909,22,3,5103,True,31,core,False,0,0,134,116,31,17.9
1,1,0.2909,22,4,5104,True,31,core,False,0,0,134,116,31,18.2
1,1,0.2909,22,5,5105,True,37,core,False,0,0,139,110,37,18.4
1,1,0.2909,22,6,5106,True,34,core,False,0,0,138,113,34,20.2
1,1,0.2909,22,7,5107,True,32,core,False,0,0,134,115,32,18.9
1,1,0.2909,22,8,5108,True,30,core,False,0,0,135,117,30,19.0
1,1,0.2909,22,9,5109,True,33,core,False,0,0,135,114,33,19.2
1,1,0.2909,22,10,5110,True,26,core,False,0,0,130,121,26,19.0
1,1,0.2909,22,11,5111,True,33,core,False,0,0,135,114,33,18.9
1,1,0.2909,22,12,5112,True,21,core,False,1,4,134,122,24,19.0
1,1,0.2909,22,13,5113,True,18,core,False,1,4,129,125,21,19.0
1,1,0.2909,22,14,5114,True,30,core,False,0,0,134,117,30,19.1
1,1,0.2909,22,15,5115,True,24,core,False,1,5,134,118,28,18.7
1,1,0.2909,22,16,5116,True,30,core,False,0,0,132,117,30,19.0
1,1,0.2909,22,17,5117,True,35,core,False,0,0,137,112,35,18.7
1,1,0.2909,22,18,5118,True,30,core,False,0,0,132,117,30,18.8
1,1,0.2909,22,19,5119,True,29,core,False,0,0,131,118,29,18.7
2,2,0.376,23,0,5200,True,22,core,False,1,4,132,121,25,19.2
2,2,0.376,23,1,5201,True,29,core,False,0,0,131,118,29,19.2
2,2,0.376,23,2,5202,True,34,core,False,0,0,136,113,34,19.2
2,2,0.376,23,3,5203,True,31,core,False,0,0,134,116,31,19.6
2,2,0.376,23,4,5204,True,3,core,True,4,18,128,126,19,19.3
2,2,0.376,23,5,5205,True,3,core,True,1,19,126,125,21,20.5
2,2,0.376,23,6,5206,True,28,core,False,0,0,130,119,28,18.7
2,2,0.376,23,7,5207,True,27,core,False,0,0,132,120,27,20.0
2,2,0.376,23,8,5208,True,33,core,False,0,0,135,114,33,20.2
2,2,0.376,23,9,5209,True,28,core,False,0,0,130,119,28,18.8
2,2,0.376,23,10,5210,True,22,core,False,1,6,131,119,27,18.6
2,2,0.376,23,11,5211,True,27,core,False,0,0,130,120,27,18.4
2,2,0.376,23,12,5212,True,15,core,False,1,10,128,122,24,18.4
2,2,0.376,23,13,5213,True,18,core,False,1,10,131,119,27,18.7
2,2,0.376,23,14,5214,True,35,core,False,0,0,137,112,35,19.6
2,2,0.376,23,15,5215,True,28,core,False,0,0,130,119,28,19.1
2,2,0.376,23,16,5216,True,26,core,False,0,0,129,121,26,19.4
2,2,0.376,23,17,5217,True,31,core,False,1,1,135,115,32,19.0
2,2,0.376,23,18,5218,True,25,core,False,0,0,130,122,25,19.0
2,2,0.376,23,19,5219,True,25,core,False,0,0,128,122,25,18.6
3,3,0.4621,24,0,5300,True,7,core,False,7,9,134,131,12,18.7
3,3,0.4621,24,1,5301,True,30,core,False,0,0,132,117,30,19.0
3,3,0.4621,24,2,5302,True,28,core,False,0,0,130,119,28,19.0
3,3,0.4621,24,3,5303,True,23,core,False,0,0,125,124,23,19.1
3,3,0.4621,24,4,5304,True,23,core,False,0,0,129,124,23,20.7
3,3,0.4621,24,5,5305,True,22,core,False,1,1,129,124,22,18.9
3,3,0.4621,24,6,5306,True,24,core,False,1,4,133,119,27,18.9
3,3,0.4621,24,7,5307,True,28,core,False,0,0,131,119,28,49.7
3,3,0.4621,24,8,5308,True,23,core,False,0,0,129,124,23,21.0
3,3,0.4621,24,9,5309,True,11,core,False,2,11,127,125,20,19.2
3,3,0.4621,24,10,5310,True,24,core,False,0,0,128,123,24,19.1
3,3,0.4621,24,11,5311,True,24,core,False,1,1,130,122,25,19.2
3,3,0.4621,24,12,5312,True,26,core,False,0,0,129,121,26,19.0
3,3,0.4621,24,13,5313,True,18,tie,False,1,1,128,128,18,18.8
3,3,0.4621,24,14,5314,True,19,core,False,2,6,135,122,23,18.7
3,3,0.4621,24,15,5315,True,11,core,False,3,7,131,129,16,18.7
3,3,0.4621,24,16,5316,True,24,core,False,0,0,127,123,24,20.0
3,3,0.4621,24,17,5317,True,27,core,False,0,0,129,120,27,19.1
3,3,0.4621,24,18,5318,True,23,core,False,0,0,125,124,23,18.9
