core_core_prob,run,seed,softfork_wins,fork_depth,orphan_rate,core_height,knots_height,core_reorgs,secs
1.0,0,9000,False,36,0.0,138,111,0,17.3
1.0,1,9001,False,39,0.0,141,108,0,16.9
1.0,2,9002,False,36,0.0,138,111,0,17.3
1.0,3,9003,False,35,0.0,137,112,0,17.4
1.0,4,9004,False,33,0.0588,138,112,1,17.2
1.0,5,9005,False,33,0.0,135,114,0,17.4
1.0,6,9006,False,34,0.0,136,113,0,17.3
1.0,7,9007,False,37,0.0,139,110,0,17.3
0.75,0,8750,False,38,0.0,140,109,0,17.6
0.75,1,8751,False,36,0.0,138,111,0,17.6
0.75,2,8752,False,37,0.0,139,110,0,18.0
0.75,3,8753,False,32,0.0,134,115,0,17.4
0.75,4,8754,False,34,0.0,136,113,0,17.3
0.75,5,8755,False,38,0.0,141,109,0,17.6
0.75,6,8756,False,30,0.0,132,117,0,17.2
0.75,7,8757,False,31,0.0625,136,114,1,17.1
0.5,0,8500,False,37,0.0,139,110,0,17.7
0.5,1,8501,False,36,0.0,138,111,0,31.8
0.5,2,8502,False,36,0.0,138,111,0,17.8
0.5,3,8503,False,34,0.0294,138,112,1,17.5
0.5,4,8504,False,37,0.0,140,110,0,17.6
0.5,5,8505,False,37,0.0,141,110,0,17.7
0.5,6,8506,False,33,0.0857,139,111,1,17.6
0.5,7,8507,False,38,0.0,141,109,0,17.6
0.25,0,8250,False,31,0.0,133,116,0,17.2
0.25,1,8251,False,39,0.0,141,108,0,17.7
0.25,2,8252,False,33,0.0,136,114,0,17.5
0.25,3,8253,False,37,0.0,139,110,0,17.6
0.25,4,8254,False,35,0.0,139,112,0,17.7
0.25,5,8255,False,36,0.0,139,111,0,17.5
0.25,6,8256,False,30,0.0,132,117,0,17.3
0.25,7,8257,False,29,0.0625,133,114,1,131.3
0.1,0,8100,False,35,0.0,137,110,0,84.8
0.1,1,8101,True,3,0.2069,116,114,3,83.5
0.1,2,8102,False,23,0.0,125,112,0,84.8
0.1,3,8103,True,0,0.2857,116,114,4,81.8
0.1,4,8104,False,31,0.0,134,109,0,83.0
0.1,5,8105,False,20,0.0,122,107,0,84.3
0.1,6,8106,False,18,0.1111,127,110,1,86.0
0.1,7,8107,False,33,0.0,136,112,0,82.9
0.0,0,8000,True,3,0.1034,113,111,4,83.7
0.0,1,8001,True,4,0.0588,110,106,2,86.5
0.0,2,8002,True,4,0.2083,117,114,5,77.1
0.0,3,8003,True,3,0.1111,119,117,4,157.5
0.0,4,8004,True,0,0.0769,112,111,2,80.9
0.0,5,8005,False,6,0.0,112,109,0,84.4
0.0,6,8006,True,4,0.1538,116,112,3,79.6
0.0,7,8007,True,3,0.0833,115,112,4,83.0
